heater_id,elapsed_seconds,TC1,TC2,TC3,TC4,TC5,TC6,TC7,TC8,TC9,TC10,TC11,TC12,TC13,TC14,TC15,TC16,TC17,TC18,TC19,TC20,TC21,TC22,TC23,TC24,TC25,TS1,TS2,TS3,OT1,OT2,OT3,TC26 PSwitch,TC27 PSwitch
Manometer Tree 150 & 155 SP-Tstat Open,0,26.00388,25.5284547,25.8204814,26.4192593,26.5164345,26.8687548,26.94962,28.0703915,28.3198106,28.6114043,30.6621467,32.9168246,33.0424825,33.5927919,44.665224,62.3175525,75.7436778,49.4899149,51.975097,65.0591901,74.7407254,48.7127747,67.188009,128.603957,25.9539265,26.0326166,28.6447546,31.0643499,0.119178569,0.0721312912,0.0930934617,32.9936859,28.209809
Manometer Tree 150 & 155 SP-Tstat Open,5,26.0004207,25.5212246,25.8105586,26.4090888,26.5219548,26.8577076,26.9574752,28.0804019,28.3090936,28.5675777,30.6683285,32.9096385,33.0463467,33.5337254,44.6847982,62.3341155,75.7400166,49.3795647,51.9831399,65.0575401,74.743569,48.72259,67.1760405,128.614364,25.9352666,26.0130453,28.6526463,31.0738964,0.118925476,0.0728091409,0.0930662266,32.9672869,28.1715105
Manometer Tree 150 & 155 SP-Tstat Open,10,26.0121603,25.5296866,25.8277919,26.4265042,26.5128678,26.8763045,26.9605641,28.0832075,28.3167762,28.6193992,30.6693089,32.9233937,33.0661585,33.7452911,44.6929671,62.3562327,75.7580875,49.4126779,52.0062319,65.0829544,74.7596445,48.674143,67.1628203,128.614114,25.9637513,26.0591796,28.6618135,31.0797706,0.119721894,0.0727590724,0.0932623739,32.9975868,28.1590888
Manometer Tree 150 & 155 SP-Tstat Open,15,26.1023249,25.5547333,25.829072,26.4858752,27.2231852,26.8378283,27.2390658,28.1742869,29.9184475,28.555059,30.7149897,33.1009912,33.4132097,33.633515,44.7098236,62.3711929,75.8120331,49.5857968,52.2498361,65.1180344,74.8510776,48.7355214,67.2553671,128.734925,25.9540688,26.0795793,28.6558127,31.0923533,0.116829479,0.0711563321,0.0899443768,32.9583693,28.1377689
Manometer Tree 150 & 155 SP-Tstat Open,20,26.8955438,25.7678302,25.9663444,27.0174707,30.1260667,26.8376429,28.2633011,28.9092331,33.4456996,28.5292743,30.9075489,34.015463,35.2779838,33.5220523,44.7690298,62.4306126,76.220309,49.3266128,52.8574485,65.1757652,75.3832794,48.7871099,67.8135128,129.252342,25.9341722,26.0771383,28.6877343,31.1168519,0.114124132,0.0712773767,0.0872530606,32.9577772,28.1251211
Manometer Tree 150 & 155 SP-Tstat Open,25,28.4820169,26.3376637,26.3023416,28.0938095,34.2058511,26.8198395,29.6945239,30.4287472,36.951044,28.500318,31.2692439,35.43389,38.0278116,33.3315209,44.9254629,62.4662211,76.8648945,49.1202402,53.556785,65.3054817,76.3149969,48.7108557,68.7378677,129.981384,25.9302749,26.1110878,28.6610824,31.1112317,0.111012186,0.0714347347,0.0850153865,32.9810268,28.1500124
Manometer Tree 150 & 155 SP-Tstat Open,30,30.5776593,27.2694863,26.82433,29.5542037,38.7082054,26.8433199,31.2521063,32.4233315,40.1122431,28.505038,31.7825202,37.0927583,41.0288014,33.4139261,45.1974227,62.5457577,77.6075932,49.394163,54.3008697,65.4352274,77.4094549,48.5910324,69.9765824,130.775165,25.9356573,26.1545396,28.6849125,31.1316592,0.109631453,0.0720666424,0.0837180086,32.9225536,28.1330245
Manometer Tree 150 & 155 SP-Tstat Open,35,33.0713174,28.4355296,27.5509624,31.2611138,43.2496742,26.8158833,32.8963005,34.7222618,42.8850289,28.4938119,32.4574486,38.9573875,44.0048801,33.4183654,45.5918982,62.6488188,78.3886816,49.5319762,55.0744222,65.6401152,78.5727551,48.6065882,71.428544,131.549837,25.9498074,26.2097665,28.7052607,31.1539524,0.108412479,0.0723092818,0.0825251693,32.9084653,28.111301
Manometer Tree 150 & 155 SP-Tstat Open,40,35.7096969,29.7124448,28.4252091,33.0866079,47.4941928,26.8264376,34.5301375,37.1035126,45.2737487,28.484895,33.2613396,40.8669928,46.8407118,33.4579632,46.1021248,62.7998418,79.1916806,49.428291,55.9089986,65.9026723,79.7034612,48.592046,73.006015,132.25923,25.9426635,26.2603941,28.7438493,31.1196304,0.108133801,0.0724831458,0.0819711153,32.8788397,28.0896812
Manometer Tree 150 & 155 SP-Tstat Open,45,38.5315489,31.0645756,29.4278929,35.0355294,51.5111005,26.8059081,36.168237,39.5489164,47.3618841,28.4810274,34.2061361,42.7898717,49.5093279,33.4094476,46.7086742,62.9609036,79.9492067,49.2809385,56.7716609,66.1693434,80.8001971,48.7056732,74.6604495,132.930388,25.9656726,26.3175074,28.7957156,31.1614878,0.107074111,0.0724187721,0.0814759329,32.856409,28.0630007
Manometer Tree 150 & 155 SP-Tstat Open,50,41.4358772,32.3853573,30.5065464,37.011084,55.2370623,26.7918097,37.8365585,41.9825345,49.2274626,28.4238133,35.236855,44.7180534,52.0291092,33.3039812,47.3997472,63.1386692,80.6499115,49.1713595,57.6650292,66.4829442,81.8228478,48.6793881,76.3661538,133.548833,25.9714384,26.4187505,28.779746,31.1496833,0.107372596,0.0728333498,0.0808016595,32.8557989,28.085375
Manometer Tree 150 & 155 SP-Tstat Open,55,44.4002704,33.695492,31.6574721,39.0271819,58.6793978,26.8202456,39.4869528,44.3870181,50.9028449,28.4401034,36.3631211,46.6343013,54.397589,33.580056,48.1767789,63.3885469,81.3451106,49.3090638,58.6046702,66.8362666,82.7751811,48.6584572,78.1114433,134.121911,25.9974389,26.6105337,28.8203291,31.2010413,0.106884566,0.0735337577,0.0804679616,32.8495453,28.0921009
Manometer Tree 150 & 155 SP-Tstat Open,60,47.3941537,34.9733484,32.8488675,41.0974802,61.8902867,26.8124915,41.1404543,46.7423787,52.4631352,28.4413449,37.5573215,48.5061843,56.6754205,33.4158625,48.9993093,63.6320784,81.9955581,49.4864026,59.5724298,67.2159444,83.7117382,48.7007584,79.876379,134.666629,26.0426088,26.8686724,28.8700249,31.2333983,0.106833397,0.0735274304,0.0804883191,32.8197325,28.0890632
Manometer Tree 150 & 155 SP-Tstat Open,65,50.3621217,36.1779019,34.1046267,43.1326167,64.8583208,26.8311433,42.7597019,49.0529688,53.8976617,28.451516,38.823841,50.4023373,58.8398354,33.6551073,49.8855245,63.9296606,82.6328791,49.528131,60.582682,67.6319151,84.5793229,48.6981189,81.6417134,135.188241,26.1125609,27.1052501,28.9311078,31.336515,0.106927207,0.0737772224,0.0796946518,32.8376839,28.079173
Manometer Tree 150 & 155 SP-Tstat Open,70,53.3572858,37.3324567,35.372354,45.1833821,67.6177882,26.8380527,44.3834009,51.3223337,55.1843946,28.4480055,40.1263092,52.2222843,60.9033818,33.2519092,50.8056591,64.2423808,83.2198073,49.255594,61.6013691,68.084634,85.4097357,48.5009678,83.4136606,135.670068,26.1821019,27.418627,28.941007,31.2768608,0.107698041,0.0744891846,0.0797730557,32.8708183,28.1047211
Manometer Tree 150 & 155 SP-Tstat Open,75,56.2932875,38.4570947,36.6461765,47.1906558,70.1198994,26.8317769,45.9334411,53.4971278,56.3037981,28.468687,41.4659937,53.9961604,62.8166754,33.4650392,51.7617029,64.5886096,83.7729208,49.2757232,62.6198967,68.5705895,86.1732917,48.6371932,85.1641192,136.138275,26.2911001,27.7632162,28.9783073,31.2558246,0.107825963,0.0739901508,0.0799947874,32.8433745,28.1038806
Manometer Tree 150 & 155 SP-Tstat Open,80,59.1558867,39.5122708,37.9425111,49.1504087,72.3294305,26.8170932,47.4321691,55.5789448,57.2333991,28.4627857,42.8309598,55.6952031,64.5635997,33.4075075,52.7273521,64.9582407,84.2590444,49.3851676,63.6415752,69.0458782,86.877065,48.5634496,86.876403,136.539213,26.3722283,28.1350931,29.093096,31.3241691,0.108902434,0.0745978496,0.079822849,32.7982576,28.0752708
Manometer Tree 150 & 155 SP-Tstat Open,85,61.9014685,40.5016457,39.1971405,51.0476493,74.2501378,26.8323436,48.8889382,57.5326082,58.0822101,28.444567,44.1954811,57.3117297,66.1452812,33.4542526,53.7348809,65.3277203,84.7156519,49.2683483,64.6682916,69.5532962,87.5092185,48.4402445,88.5042198,136.9159,26.4859072,28.495336,29.2519911,31.3239378,0.108634486,0.0747279726,0.0801158319,32.7651468,28.0285276
Manometer Tree 150 & 155 SP-Tstat Open,90,64.5374663,41.3916905,40.4418382,52.8240165,76.0245957,26.8432674,50.2825109,59.3783222,58.929403,28.4615042,45.5470838,58.8496038,67.631218,33.5061944,54.7222529,65.7380512,85.141286,49.1766299,65.6932226,70.0750187,88.0614284,48.5555616,90.1117082,137.240811,26.5881472,28.9968857,29.3968453,31.3590549,0.109303532,0.0753169645,0.0800327513,32.7774968,28.05326
Manometer Tree 150 & 155 SP-Tstat Open,95,67.1768694,42.275041,41.6722987,54.6088865,77.7194184,26.8549377,51.6925838,61.1667893,59.8598253,28.4726987,46.91411,60.350884,69.098067,33.4587891,55.7163957,66.1752825,85.5441844,49.3036887,66.7532009,70.6125814,88.6287576,48.5932271,91.6984019,137.588968,26.6744187,29.5103476,29.5856045,31.4446491,0.110359096,0.0749125656,0.0795345429,32.7492958,28.0015074
Manometer Tree 150 & 155 SP-Tstat Open,100,69.7785654,43.0987447,42.8673954,56.3474777,79.3548907,26.8564218,53.0721883,62.9088659,60.7769133,28.4738834,48.2717875,61.8430264,70.5420224,33.4325627,56.7226301,66.615792,85.9413198,49.3268369,67.8078666,71.1656785,89.1618113,48.6389997,93.2500479,137.919639,26.7796021,30.0889348,29.7778108,31.4819864,0.110597609,0.0753475007,0.0799273875,32.7098614,27.9997415
Manometer Tree 150 & 155 SP-Tstat Open,105,72.3494853,43.9325118,44.0582975,58.0750686,80.9616147,26.8919353,54.4720816,64.6433549,61.7127843,28.5249822,49.631737,63.3121862,71.9831702,33.6531083,57.7367441,67.0820215,86.3239616,49.1911636,68.8644605,71.734579,89.705218,48.6386794,94.7766601,138.26297,26.9928749,30.5770793,29.9812912,31.5519164,0.110789079,0.075264145,0.0794201007,32.7408934,28.0145804
Manometer Tree 150 & 155 SP-Tstat Open,110,74.9361475,44.7403815,45.2722043,59.7689379,82.5190736,26.8956791,55.8709615,66.364004,62.6872499,28.5076426,51.0093074,64.7955718,73.3872176,33.4831237,58.7534353,67.5735809,86.7222209,49.0793972,69.9493359,72.313148,90.2267747,48.5913639,96.3043287,138.605587,27.246993,31.0950985,30.1841409,31.6352422,0.111519198,0.0748900072,0.0798665901,32.6777768,27.9649152
Manometer Tree 150 & 155 SP-Tstat Open,115,77.4477379,45.5289478,46.4170912,61.4413054,84.039184,26.905219,57.2302808,68.0300966,63.6370545,28.5129627,52.3399952,66.2254508,74.7832937,33.5309904,59.775743,68.0534688,87.0897341,49.0506182,71.0124826,72.9164548,90.7391259,48.6392386,97.7979178,138.945211,27.3468765,31.5974317,30.4802927,31.7278797,0.111881231,0.0752116007,0.0797653529,32.6735743,27.9322138
Manometer Tree 150 & 155 SP-Tstat Open,120,79.9280342,46.305273,47.579262,63.1044633,85.5508813,26.9020695,58.6168735,69.6672291,64.6048199,28.473907,53.6967488,67.6208361,76.1498083,33.3896488,60.7876697,68.5585912,87.462515,48.8754811,72.0745635,73.4991633,91.2297406,48.5191837,99.2882405,139.284726,27.5153699,32.0475184,30.7120259,31.8174152,0.112381916,0.0755331941,0.079434406,32.6552162,27.919372
