elapsed_seconds,temperature,thermocouple,anomaly_zscore,anomaly_iqr,anomaly_frozen,anomaly_iforest,anomaly_count,anomaly_consensus,heater_id
0,26.00388,TC1,True,True,False,False,2,True,Manometer Tree 150 & 155 SP-Tstat Open
5,26.0004207,TC1,True,True,False,False,2,True,Manometer Tree 150 & 155 SP-Tstat Open
10,26.0121603,TC1,True,True,False,False,2,True,Manometer Tree 150 & 155 SP-Tstat Open
15,26.1023249,TC1,True,True,False,True,3,True,Manometer Tree 150 & 155 SP-Tstat Open
20,26.8955438,TC1,True,True,False,True,3,True,Manometer Tree 150 & 155 SP-Tstat Open
25,28.4820169,TC1,True,True,False,True,3,True,Manometer Tree 150 & 155 SP-Tstat Open
30,30.5776593,TC1,True,True,False,True,3,True,Manometer Tree 150 & 155 SP-Tstat Open
35,33.0713174,TC1,True,True,False,True,3,True,Manometer Tree 150 & 155 SP-Tstat Open
40,35.7096969,TC1,True,True,False,True,3,True,Manometer Tree 150 & 155 SP-Tstat Open
45,38.5315489,TC1,True,True,False,True,3,True,Manometer Tree 150 & 155 SP-Tstat Open
50,41.4358772,TC1,True,True,False,True,3,True,Manometer Tree 150 & 155 SP-Tstat Open
55,44.4002704,TC1,True,True,False,True,3,True,Manometer Tree 150 & 155 SP-Tstat Open
60,47.3941537,TC1,True,True,False,True,3,True,Manometer Tree 150 & 155 SP-Tstat Open
65,50.3621217,TC1,True,True,False,True,3,True,Manometer Tree 150 & 155 SP-Tstat Open
70,53.3572858,TC1,True,True,False,True,3,True,Manometer Tree 150 & 155 SP-Tstat Open
75,56.2932875,TC1,True,True,False,True,3,True,Manometer Tree 150 & 155 SP-Tstat Open
80,59.1558867,TC1,True,True,False,True,3,True,Manometer Tree 150 & 155 SP-Tstat Open
85,61.9014685,TC1,False,True,False,True,2,True,Manometer Tree 150 & 155 SP-Tstat Open
90,64.5374663,TC1,False,True,False,True,2,True,Manometer Tree 150 & 155 SP-Tstat Open
95,67.1768694,TC1,False,True,False,True,2,True,Manometer Tree 150 & 155 SP-Tstat Open
100,69.7785654,TC1,False,True,False,True,2,True,Manometer Tree 150 & 155 SP-Tstat Open
105,72.3494853,TC1,False,True,False,True,2,True,Manometer Tree 150 & 155 SP-Tstat Open
110,74.9361475,TC1,False,True,False,True,2,True,Manometer Tree 150 & 155 SP-Tstat Open
115,77.4477379,TC1,False,True,False,True,2,True,Manometer Tree 150 & 155 SP-Tstat Open
120,79.9280342,TC1,False,True,False,True,2,True,Manometer Tree 150 & 155 SP-Tstat Open
125,82.4401499,TC1,False,True,False,True,2,True,Manometer Tree 150 & 155 SP-Tstat Open
