thermocouple,temp_initial,temp_final,temp_min,temp_max,temp_mean,temp_std,temp_range,duration_min,heating_rate_c_per_min,overshoot,stability,max_rate_of_change,min_rate_of_change,avg_rate_of_change,num_readings,heater_id
TC1,26.0,232.27,26.0,237.92,163.54,34.52,211.92,397.25,0.5335,5.65,6.078,2.9952,-0.3644,0.0433,4768,Manometer Tree 150 & 155 SP-Tstat Open
TC2,25.53,231.52,25.52,231.52,159.23,34.74,205.99,397.25,0.5185,0.0,3.9067,1.3521,-0.0536,0.0432,4768,Manometer Tree 150 & 155 SP-Tstat Open
TC3,25.82,233.42,25.81,233.79,161.68,34.56,207.98,397.25,0.5235,0.37,4.2188,1.2963,-0.0472,0.0435,4768,Manometer Tree 150 & 155 SP-Tstat Open
TC4,26.42,230.73,26.41,232.91,159.87,34.1,206.5,397.25,0.5198,2.19,5.0894,2.0703,-0.1374,0.0429,4768,Manometer Tree 150 & 155 SP-Tstat Open
TC5,26.52,209.05,26.51,211.41,146.11,30.06,184.9,397.25,0.4654,2.37,4.6448,4.5415,-0.2534,0.0383,4768,Manometer Tree 150 & 155 SP-Tstat Open
TC6,26.87,97.86,26.79,100.89,72.58,13.6,74.1,397.25,0.1863,3.03,1.723,1.6362,-2.0813,0.0149,4768,Manometer Tree 150 & 155 SP-Tstat Open
TC7,26.95,245.68,26.95,247.24,171.0,36.18,220.29,397.25,0.5545,1.56,5.1227,1.6683,-0.0456,0.0459,4768,Manometer Tree 150 & 155 SP-Tstat Open
TC8,28.07,232.69,28.07,234.71,161.55,34.2,206.64,397.25,0.5202,2.01,5.1437,2.4454,-0.1335,0.0429,4768,Manometer Tree 150 & 155 SP-Tstat Open
TC9,28.32,191.11,28.31,192.6,133.67,27.32,164.29,397.25,0.4135,1.48,3.874,3.5273,-0.0773,0.0342,4768,Manometer Tree 150 & 155 SP-Tstat Open
TC10,28.61,97.55,28.42,100.92,73.39,13.28,72.5,397.25,0.182,3.38,1.6718,1.3596,-1.7182,0.0145,4768,Manometer Tree 150 & 155 SP-Tstat Open
TC11,30.66,236.44,30.66,237.9,165.62,34.37,207.24,397.25,0.5217,1.46,4.8576,1.3776,-0.0451,0.0432,4768,Manometer Tree 150 & 155 SP-Tstat Open
TC12,32.92,228.05,32.91,229.58,160.37,32.45,196.67,397.25,0.4951,1.53,4.7331,1.9282,-0.1022,0.0409,4768,Manometer Tree 150 & 155 SP-Tstat Open
