heater_id,thermocouple,temp_initial,temp_final,temp_min,temp_max,temp_mean,heating_rate,stability,overshoot,anomaly_count
Manometer Tree 150 & 155 SP-Tstat Open,TC1,26.0,232.27,26.0,237.92,163.54,0.5335,6.078,5.65,122
Manometer Tree 150 & 155 SP-Tstat Open,TC2,25.53,231.52,25.52,231.52,159.23,0.5185,3.9067,0.0,231
Manometer Tree 150 & 155 SP-Tstat Open,TC3,25.82,233.42,25.81,233.79,161.68,0.5235,4.2188,0.37,230
Manometer Tree 150 & 155 SP-Tstat Open,TC4,26.42,230.73,26.41,232.91,159.87,0.5198,5.0894,2.19,234
Manometer Tree 150 & 155 SP-Tstat Open,TC5,26.52,209.05,26.51,211.41,146.11,0.4654,4.6448,2.37,209
Manometer Tree 150 & 155 SP-Tstat Open,TC6,26.87,97.86,26.79,100.89,72.58,0.1863,1.723,3.03,219
Manometer Tree 150 & 155 SP-Tstat Open,TC7,26.95,245.68,26.95,247.24,171.0,0.5545,5.1227,1.56,233
Manometer Tree 150 & 155 SP-Tstat Open,TC8,28.07,232.69,28.07,234.71,161.55,0.5202,5.1437,2.01,217
Manometer Tree 150 & 155 SP-Tstat Open,TC9,28.32,191.11,28.31,192.6,133.67,0.4135,3.874,1.48,235
Manometer Tree 150 & 155 SP-Tstat Open,TC10,28.61,97.55,28.42,100.92,73.39,0.182,1.6718,3.38,215
Manometer Tree 150 & 155 SP-Tstat Open,TC11,30.66,236.44,30.66,237.9,165.62,0.5217,4.8576,1.46,229
Manometer Tree 150 & 155 SP-Tstat Open,TC12,32.92,228.05,32.91,229.58,160.37,0.4951,4.7331,1.53,234
Manometer Tree 150 & 155 SP-Tstat Open,TC13,33.04,207.96,33.04,209.59,146.93,0.4444,4.3196,1.63,228
Manometer Tree 150 & 155 SP-Tstat Open,TC14,33.59,109.63,33.25,111.73,82.72,0.1967,1.5713,2.1,230
Manometer Tree 150 & 155 SP-Tstat Open,TC15,44.67,222.49,44.67,223.58,160.88,0.4504,4.0288,1.09,231
Manometer Tree 150 & 155 SP-Tstat Open,TC16,62.32,208.8,62.32,209.06,156.75,0.3694,2.9761,0.26,240
Manometer Tree 150 & 155 SP-Tstat Open,TC17,75.74,195.24,75.74,195.24,152.28,0.3008,2.1981,0.0,228
Manometer Tree 150 & 155 SP-Tstat Open,TC18,49.49,52.67,48.69,53.93,52.08,0.0112,0.2614,1.26,123
